,Unnamed: 0,Player,position,games,goals,shots,time,xG,assists,xA,key_passes,season,team,yellow,red,npg,npxG,xGChain,xGBuildup
0,0.0,CR7,FW,33,29,167,2807,29.838080704212192,3,3.8546393513679504,36,2020,Juventus,3,0,23,23.74781009554863,28.635406404733658,8.915717896074057
1,1.0,CR7,FWL,33,31,208,2920,29.431679474189878,5,6.067225832492112,51,2019,Juventus,3,0,19,19.534956337884072,26.5536093339324,7.224641568958759
2,2.0,CR7,FW,31,21,175,2692,23.324039902538058,8,5.193873833864926,48,2018,Juventus,3,0,16,18.75628685578704,21.854169853031635,7.177339139394463
3,3.0,CR7,FW,27,26,178,2304,26.999303579330444,5,5.524841643869877,40,2017,Real Madrid,1,0,23,24.02619305253029,31.62383733689785,9.471852870658038
4,4.0,CR7,FWL,29,25,162,2546,25.413737758994106,6,4.591035931371152,31,2016,Real Madrid,4,0,19,19.467644795775414,29.57457834482193,8.661094894632697
5,5.0,CR7,AML,36,35,227,3186,35.589006453752525,11,8.606404347345233,51,2015,Real Madrid,3,0,29,28.899507626891136,40.818028450012214,9.863004602491856
6,6.0,CR7,FWL,35,48,225,3103,39.30876067932695,16,13.600642347708346,76,2014,Real Madrid,5,1,38,30.38968584593385,43.60801999177784,7.520237253978848
0,,Messi,FW,34,29,188,2927,26.040513269603252,9,11.231236711144447,75,2020,Barcelona,4,0,26,22.324125461280346,36.58918460458517,19.644014816731215
1,,Messi,Sub,33,25,159,2876,20.84966728463769,20,16.593363385647535,88,2019,Barcelona,4,0,20,17.133279267698526,34.92346678301692,13.53765751607716
2,,Messi,FW,34,36,170,2704,25.997169069945812,13,15.33516551926732,93,2018,Barcelona,3,0,32,22.28090887516737,38.45987746119499,10.69879900291562
3,,Messi,FW,36,34,196,2995,28.946280613541603,12,15.100405622273684,87,2017,Barcelona,3,0,32,25.973170146346092,48.18063422292471,21.634404016658664
4,,Messi,FWR,34,37,179,2832,26.885174363851547,9,13.955131396651268,79,2016,Barcelona,6,0,31,21.682230830192566,42.52504535019398,18.13351222872734
5,,Messi,FWR,33,26,158,2726,27.101910315454006,16,15.871278138831258,77,2015,Barcelona,3,0,23,21.899351350963116,41.99686624109745,15.196364373899996
6,,Messi,FW,38,43,187,3374,35.89176357910037,18,17.61195552162826,95,2014,Barcelona,4,0,38,31.432097773998976,54.75360991060734,19.75672373920679
